Gondi Word	Phonetic	Part of Speech	Telugu Meaning	English Meaning	Hindi Meaning	Ex 1 Gondi	Ex 1 Telugu	Ex 1 English	Ex 1 Hindi	Ex 2 Gondi	Ex 2 Telugu	Ex 2 English	Ex 2 Hindi	Ex 3 Gondi	Ex 3 Telugu	Ex 3 English	Ex 3 Hindi
వీస	/vīsa/	num	(20) ఇరువై	twenty	बीस	నన్న వీస నహ్క్ తిరిసి వాతొన్.	నేను ఇరువై ఊర్లు తిరిగి వచ్చాను.										
వీస్క్-	/vīsk-/	v	అందడము	to pull down													
వీస్క్‌వల్	/vīskval/	n	లాగుకోవడం	pull on your own		కొర్రి సెంగంగ్ వీస్క్ సి వీస్క్ సి కొయ్యంతెర్.	చిక్కుడు కాయను లాగుకొని లాగుకొని తెంపుతున్నారు.										
వీస్కుడ్	/vīskuḍ/	n	మంటతో కూడిన కట్టె	charred wood, a partly burned stick from the fireplace, or a stick still burning	मशाल	కట్టె నిరుత పజ్జె తాన్ విస్కూడ్ ఇంతెర్.	కట్టె కాలిన తరువాత దానిని పొయ్యి కట్టె అంటారు.	After a stick has been burned it is called *.									
వీస్-	/vīs-/	n	అరుగు	to wear out	गस जाना	కాసుడ ఆస్కుడ్ వీస్త.	ఎడ్ల బండి ఇరుసు అరిగి పోయింది.	The axle of the bullock cart has worn out.									
వీసి	/vīsi/	n	ఈగ	fly		రోన్ పాల్ తుహ్తెకె వీసింగ్ ఆంతంగ్.	ఇంట్లో పాలు ఒలక పోస్తే ఈగలు బాగా వాలుతాయి.			రోతున్ రొప్పొ మన్వల్ వీసి.	ఇంట్లో ఉండే ఈగ.						
వీసొరంగ్	/vīsoraṅg/	n	ఆయుధాలు	arms		వీసొరంగ్ పియ్సికున్ లడెయ్ కియ్లెన్ దాంతెర్.	ఆయుధాలు పట్టుకొని వైరానికి వెళతారు.			పడనంగ్ వీసొరంగ్ నాకున్ గిర్ సియన ఇంజెర్ తల్క.	పురాతన ఆయుధాలు నాకు కూడ కావలి అని అడుగు.						
వెఙుర్ (మర్ర)	/veṅur (marra)/	n	మునగ చెట్టు	kind of a tree	पेड़												
వెచె వెచె	/vecevece/		అల్లరి చేసేవాడు	he used to make a disturbance													
వెట్టె	/veṭṭe/	n	నృత్య వాయిద్య వస్తువు	small drum-like instrument		డండరి త చచ్చొయ్ యేంద్నెకె వెట్టె పాంతెర్.	డండారి నృత్యం చేసేటప్పుడు వాయించేది.			చచ్చొయ్ యేంద్నెకె వెట్టె పాంతెర్.	చచ్చోయ్ నృత్యం చేసేటప్పడు వెట్టె అనే సంగీత పరికరం వాయిస్తారు.	While doing the 'chachoy' dance they beat the * drum.					
వెడ్మ (మర్ర)	/veḍma (marra)/	n	తిర్మన్ చెట్టు	kind of a tree	पेड़												
వెడిల్	/veḍil/			old age	बुढ़ापा												
వెడి-	/veḍi-/	v	నింపు	to pour out	भरना	బయ్యె దానంగ్ కాంగ్నగ వెడిసెర్ మంతెర్.	అమ్మ ధాన్యాలను పెద్ద కుండలో నింపుతుంది.										
