Gondi Word	Phonetic	Part of Speech	Telugu Meaning	English Meaning	Hindi Meaning	Ex 1 Gondi	Ex 1 Telugu	Ex 1 English	Ex 1 Hindi	Ex 2 Gondi	Ex 2 Telugu	Ex 2 English	Ex 2 Hindi	Ex 3 Gondi	Ex 3 Telugu	Ex 3 English	Ex 3 Hindi
కోస్	/kōs/	n	మూడు కిలోమీటర్లు	a distance of two miles		పడన రోతల్ పూన రోన్ సొన్లె ఉంది కోస్ లఙ్ మంత.	పాత ఇళ్ల నుండి కొత్త ఇంటికి మూడు కిలో మీటర్ల దూరం ఉంది.										
కోస్ల పుడి	/kōsla puḍi/	n	పట్టుపురుగు	silk worm		కోస్ల పుడి కొస్లత్ రొప్పొ మందంత.	పట్టు పురుగు గూడు లోపల ఉంటుంది.										
కోసి కీ-	/kōsi kī-/	v	తగిలించు	to hang clothing, rope, or bag on something													
కోసిద్	/kōsid/	n	ప్రయత్నం	effort	प्रयत्न; कोशिश	నన్ మస్తొరన అయ్లె కోసిద్ కీసెర్ మంతొన్.	నేను గురువు అవాలని ప్రయత్నం చేస్తున్నాను.										
కోసిస్ కీ-	/kōsis kī-/	v	ప్రయత్నము చేయుట	to attempt	प्रयास	కర్సి మయన్ సాటి కోసిస్ కీమ్.	ఆట ఆడి గెలవడానికి ప్రయత్నించు.										
గగ్ర	/gagra/	n	బిందె	metal pitcher													
గచ్ పియ	/gac piya/	n	గట్టిపట్టు	grip		కుహితగ రొప్పొ రెయ్నెకె గచ్ పియ్సి రెయన.	బావి లోపలికి దిగేటప్పుడు గట్టిగా పట్టుకొని దిగాలి.										
గచ్నె	/gacne/	adv	అకస్మాత్తుగా	suddenly	अचानक	తరసున్ సూడ్సి గచ్నె నిల్తొన్.	పామును చూసి నిలబడిపోయాను.										
గజ్ బిజే మా-	/gaj bijē mā-/	vi	చాలా మంది	to get crowded		బయ్ వెల్లె మాంది గజ బిజతె మంతెర్.	చాలా ఎక్కువ మంది గజబితో ఉన్నారు.										
గట్	/gaṭ/	adv	గట్టిగా	hard, strong	मज़बूत	నీవ తల్ల బయ్ గట్ మంత.	నీ తలకాయ బాగా గట్టిగా ఉంటుంది.										
గట్ ఆతప్	/gaṭ ātap/	adj	గడ్డకట్టిన	frozen		పీర్- వాతెకె సిమ్మిట్ గట్ ఆంత.	వాన వస్తే సిమెంటు గడ్డ కట్టుతుంది.										
గట్క	/gaṭka/	n	ఘడియ	time, hour	बार, बारा	నాడిత గట్కత్క్ మర్మింగ్ కీతెకె చొకొట్ మందంత.	రేపటి సమయానికి పెళ్లి చేసుకుంటే మంచిగా ఉంటుంది.										
గట్కమెన్	/gaṭkamen/	adv	కొద్ది సేపు	somewhat		గట్క మెన్ మంజి నాటె సొన్.	కొద్ది సేపు ఉండి ఊరికి వెల్లండి.										
గట్టి	/gaṭṭi/	n	ముడి	knot, bundle, clump, parcel (usually bound together in a piece of cloth)	गांठ, गठरी	నొవ్రల్ పోతి దొహ్నెకె గట్టి వాటంతొర్.	వరుడు మంగళ సూత్రం కట్టి ముడివేస్తాడు.										
గట్టి సొరొప్	/gaṭṭi sorop/		గవదబిల్లలు	tonsils													
గట్టియల్	/gaṭṭiyal/	n	సభ్యులు	member	सदस्यपु												
గట్టిరెహ	/gaṭṭireha/		చిక్కు విడదీయి	solving the puzzle													
గట్టెడ	/gaṭṭeḍa/		చిన్న మొక్క			గట్టెడంగ్ తింతెర్.	బటానీలు తింటారు.										
గడ	/gaḍa/	adj	గాఢ	deep		గడ చొకొట్ సెల్లె ఇంతొర్.	అక్కడ మంచిగా లేదు అంటారు.										
గడ్ బడ్	/gaḍ baḍ/	n	ఆందోళన	worry	आंदोलन	రొహ్క్ సెల్లుర్ ఊర్ రొహ్క్ సియన ఇంజెర్ మండల్ తగ సొంజి గడ్ బడ్ కీంతెర్.	ఇండ్లు లేని వారు మాకు ఇండ్లు ఇవ్వాలని మండలానికి వెళ్లి ఆందోళన చేస్తున్నారు.										
గడ్డపార	/gaḍḍapāra/	n	గుణపము	steel rod for digging holes		కాచ్లెన్ పహర్ కామ్ సీంత.	గునపము తవ్వడానికి పనికి వస్తుంది.										
గడ్డిరూప్	/gaḍḍirūp/	n	కొండెంగ రూపం	a sort of hill monkey													
గడ్నుక్	/gaḍnuk/		కొద్దిసేపు	for a short time		నన్న గడ్నుక్ నె వాంతొన్.	నేను కొద్దిసేపు తర్వాత వస్తాను.										
గడ్యల్ (గడియల్)	/gaḍyal (gaḍiyal)/	n	సేవకుడు	servant, ritual food server	सेवक												
గడ్స్	/gaḍs/	n	తెలివి			తన్వతనయ్ గడ్స్ ఆయ్వల్.	తనకు తాను తెలివివంతునిగా అవటం.										
గడి	/gaḍi/	n	గడియారము	a watch, timepiece	घड़ी	హాటుంనె కయ్‌దగ దొహ్వల్ గడి యేత్‌తొర్.	అంగడిలో చేతి గడియారం తీసుకున్నాడు.										
గడి కీమ్	/gaḍi kīm/		మడత బెట్టు			వర్టల్ కప్డింగ్ సుక్సి ఇస్తిరి పాసి గడికీసి సీంతొర్.	చాకలి బట్టలు ఉతికి ఇస్త్రీ చేసి మడతపెట్టి ఇస్తారు.										
గడి కీ-	/gaḍi kī-/	v	మడత పెట్టుట	to found, begin, start, open		సుక్తంగ్ కప్డింగ్ గడీ కీసి ఇర్రన.	ఉతికిన బట్టలు మడత పెట్టి ఉంచాలి.										
గడికియ్-	/gaḍikiy-/		మడత పెట్టటం			నరుంసి తెచ్చికున్ జోరంగ్ గడికీసి ఇర్ర.	పండుకొని లేచి దుప్పట్లను మడత పెట్టి ఉంచు.										
గడిగడి	/gaḍigaḍi/	adj	మళ్లీ మళ్లీ	repetitive		సాడ కాండిర్ గడిగడి బహ్రి పెసియంతెర్.	బడి పిల్లలు మళ్లీ మళ్లీ బయటికి వెలుతున్నారు.										
గడె మాత	/gaḍe māta/	n	నిర్మాణమైన	history													
గడెంచ	/gaḍen̄ca/		బిందెలు పెట్టే బల్ల	bench to hold round water containers													
గడెమాయ్వల్	/gaḍemāyval/	adj	సృష్టించబడింది	creation													
గడొల	/gaḍola/	n	చిన్న బిందె	kind of small metal (steel, bronze) pot or vessel	भाँड़ा	మావ రోన్ గడొల మంత.	మా ఇంట్లో చిన్న బిందె ఉంది.										
గతిసిల్వ	/gatisilva/	n	గత్యంతరం లేక	having no choice		చెహర్కెనె గతి సెల్వ పిస్సెర్ మంతెర్.	పట్టణాలలో గత్యంతరం లేక ఉంటారు.										
గద్ది	/gaddi/	n	కన్నం														
గద్దింగ్ కీమ్	/gaddiṅg kīm/		కన్నాలు చేయు			కుహితంగ్ బండంగ్ వొహన్ సాటి గద్దింగ్ కీంతెర్.	బావి బండలను పగులగొట్టడానికి కన్నాలు చేస్తున్నారు.										
గన్	/gan/	n	సుత్తి	hammer	हथौडा	వొడ్డె గన్ తె డగుర్ బండతున్ వొహంతొర్.	వొడ్డె వాడు సుత్తెతో పెద్ద బండను పగలగొడతాడు.										
గంట	/gaṇṭa/	n	సమయం	hour	घंटा	నిన్నె మూంద్ గంటంగ్ పరిక్స లిహి కీతొన్.	నిన్న మూడు గంటలు పరీక్ష రాసాను.										
గంగ	/gaṅga/	n	నది	river	नदी; नद	మావ నాటున్ కరుమ్ పేన్ గంగ మంత.	మా ఊరికి దగ్గరలో దేవుని గంగ ఉంది.										
గన్నె	/ganne/	n	కణుపు	knot in wood, joint between sections of bamboo		వెద్దుర్ బడ్డె గన్నెంగ్ గన్నెంగ్ మందంత.	వెదురు కర్ర గన్నెలు కణుపులు కలిగి ఉంటుంది.										
గన్నెర్ (మర్ర)	/ganner (marra)/	n	గన్నేరు చెట్టు	kind of a tree, oleander		గన్నెర్ మర్ర గుల్వలిక్ పుఙక్ పోయంత.	గన్నేరు చెట్టు గులాబీ రంగు పువ్వులు పూస్తుంది.										
గంగర్	/gaṅgar/	n	గంగాళము	large earthen vessel		యేర్ తుంగన్ సాటి గంగడె యేర్ కాసు సీంతెర్.	స్నానం చెయ్యడానికి గంగాళంతో నీరు వేడి చేస్తారు.										
గంజ్	/gan̄j/	n	గిన్నె	cooking vessel	बरतन	గాటొ అట్లెన్ గంజ్ కామ్ వాంత.	అన్నం వండుకోవడానికి గిన్నె పనికి వస్తుంది.										
గంటి పామ్	/gaṇṭi pām/		గంటలు కొట్టు	ring the bell		సాడతె గంటి పాతెకె సుటి సీంతెర్.	బడి గంట కొడితే సెలవు ఇస్తారు.										
గందెలల్	/gandelal/		అంద విహీనమైనవాడు	ugly man		వోర్ మాయ్నల్ గందెలల్ మంతొర్.	అతను అంద విహీన మైనవాడు.										
గంటెల్క్	/gaṇṭelk/		కమ్మలు			బాయిక్ గంటెల్క్ కెరంతంగ్.	అమ్మాయిలు కమ్మలు వేసుకుంటారు.										
గనగన	/ganagana/	adv	గుండ్రంగా	spin		కాండిర్ కర్స్‌నెకె గనగన తిరియంతెర్.	పిల్లలు ఆడుకునేటప్పుడు గుండ్రంగా తిరుగుతారు.										
గనిత్ సాస్త్రం	/ganit sāstraṁ/		గణిత శాస్త్రం	maths													
గప్ ముడుఙ్వల్	/gap muḍuṅval/		బోర్ల పడటం			కాండిర్ గప్ ముడుంగ్లెన్ ఆంతొర్.	పిల్లవాడు బోర్ల పడడానికి ప్రయత్నిస్తున్నాడు.										
గప్నె	/gapne/	adv	ఆనించి	down(wards)	उदास	పేన్క్‌నగ బాయిక్ గప్నె కాల్ కరంతంగ్.	దేవుని దగ్గర స్త్రీలు తల ఆనించి మొక్కుతారు.										
గండం	/gaṇḍaṁ/	n	ప్రమాదం	hazard	खतरनाक (घटना); दुर्घटना; खतरा	నన్న సాడతె సొన్నెకె గండం వాత.	నేను బడికి వెళుతుంటే ప్రమాదం జరిగింది.										
గండ్-	/gaṇḍ-/	n	గుచ్చడం	to pierce, prick, stab, become embedded (thorn)	चुभना	నావ కాల్దున్ సాప్ గండ్త.	నా కాలుకు ముల్లు గుచ్చింది.										
గమ్డి	/gamḍi/	n	గొంగలి	thick (usually black) blanket, used by shepherds to shelter from rain and cold	कंबल	పిర్దె గమ్డి ముచ్చంతెర్.	వానలో గొంగలి కప్పుకుంటారు.										
గమ్మత్	/gammat/	n	అద్భుతం														
గమ్మెమా-	/gammemā-/	adj	మనసుపట్టడం	uneasy		పూన నాటె సొత్తెకె గమ్మెమాయొ.	కొత్త ఊరికి వెళితే మనసుపట్టడం లేదు.										
గమత్‌నొర్	/gamatnor/	n	హాస్యగాడు														
గమతె	/gamate/	adj	విచిత్ర	odd		లక్ష్మి బయ్ కరలె గమ్మతె మంత.	లక్ష్మి బాయి విచిత్రంగా ఉంది.										
గమతె మంత	/gamate manta/		మురికి ఉండి														
గరగుర	/garagura/	n	చిర్రుబుర్రు	whisper	कानाफूँसी	సమ్దిరె గరగుర ఆసెర్ మందంతెర్.	అందరు చిర్రుబుర్రు మంటారు.										
గరంజి	/garan̄ji/		నూనె తయారు చేస్తారు		कानुग	గరంజి నియ్ పున్క్ నగ సోక్తెతె పున్క్ మగంతంగ్.	కానుగ కాయల నూనె పుండ్లకు పెట్టుకుంటారు.										
గర్ గర్	/gar gar/	v	చుట్టు														
గర్క్‌వర్క్	/garkvark/		ఆరోగ్యంగా	healthi													
గర్గొటి బండ	/gargoṭi baṇḍa/	n	చెకుముకి రాయి	flint stone		గర్గొటి బండతె తడ్మి అరుసంతెర్.	చెకుముకి రాయితో మంట మండిస్తారు.										
గర్జ్ వల్	/garj val/	v	ఉరుము	thunder	कडक; गरज	పిర్ వానెకె గర్జంత.	వానకాలంలో ఉరుముతుంది.										
గర్జె మా-	/garje mā-/	v	వాన రావడానికి	to thunder	गरज़ना	పీర్ వాయన్ సాటి ఆబర్ గర్జెమాసెర్ మంత.	వర్షం రావడానికి ఆకసం గర్జిస్తుంది.										
గర్బ్	/garb/	n	కడుపు	pregnancy		గర్బ్ నిల్త.	కడుపు పండింది.										
గర్మి (కాక)	/garmi (kāka)/		వేడిమి		गर्मी; ताप												
గర్మిఆంత	/garmiānta/		వేడి అవుతుంది	it is becoming heat		యెద్ది గాలుమ్ బయ్ గర్మిఆంత.	ఎండకాలం చాలా వేడిగా ఉంటుంది.										
గర్రి	/garri/	n	గాలం	fish hook	मछली पकड़ने का काँटा	మీన్క్ పియ్లెన్ కొండి వాలె గర్రి వాటంతెర్.	చేపలు పట్టడానికి కొండి గల గాలం వేస్తారు.										
గర్వ	/garva/	n	గర్వము	proudness		నన్నయ్ డగుర్ ఇంజెర్ గర్వతె మందంతొర్.	నేను పెద్ద అనుకుని గర్వంతో ఉంటాడు.										
గరికీయన	/garikīyana/		వడ పట్టుట			కుహిత యేర్ గిందతె గరి కీసి తరన.	బావి నీరు జల్లెడతో వడపోసి తీసుకురావాలి.										
గల్తి	/galti/	n	నేరము														
గల్‌బల	/galbala/	n	కలకల లాడడం	children's noise, racket	आवाज़												
గలిజ్	/galij/	adj	మురికి	dirt	गंदगी; अशुद्धता	పిర్- గాలుమ్ పొద్దింగ్ బయ్ గలిజ్ మందంతంగ్.	వాన కాలం పెండ కుప్పలు బాగా మురికిగా ఉంటాయి.										
గవ్వదర్	/gavvadar/	n	సాక్షి	witness	साक्षी; गवाह	గవ్వ సియ్వన్ గవ్వ దార్ ఇంతెర్.	మాటలు ఇచ్చే వాన్ని సాక్షి అంటారు.										
గవ్వయేత	/gavvayēta/		సాక్షి తీసుకో	collecting evidence		నియవ్ తగ గవ్వయెత్వల్ మందంత.	న్యాయ స్థానంలో మాటలు సాక్షి తీసుకోవల్సి ఉంటుంది.										
గస్రె మా-	/gasre mā-/	n	జారడం	to slip		నియ్ తూర్త జాగ గస్రెమాంత.	నూనె పడి పోయిన స్థలంలో జారుతుంది.										
గసి కి-	/gasi ki-/	v	రుద్దడము	to rub with the hands		కయ్క్‌నె గసి కియన.	చేతులతో రుద్దుకోవాలి.			మీన్దున్ కుస్రి అట్టన్ మున్నె గసి సపుక్ తేండ్సి కుస్రి అట్టంతెర్.	చేపలను కూర వండే ముందు రుద్ది పొలుసులు తీసి కూర వండుతారు.						
గసెమాత	/gasemāta/		తాకుతూ వెళ్లడం														
గహ్రి	/gahri/		ఓర్పుగా	patiently		మావ కోంద బయ్ గహ్రి మంత.	మా ఎద్దు చాలా ఓర్పుగా ఉంది.										
గహె	/gahe/	n	కొలత పెట్టి(ముగ్గువేయడం)	measurement for the foundation of a house	नाप	రోన్ తెహన్ సాటి గహె పియంతెర్.	ఇళ్లు కట్టడానికి భూమి కొలుస్తున్నారు.	In order to prepare a house, they make measurements.									
గ్రహము	/grahamu/	n	గ్రహము	planet		బొమ్మి ఉంది గ్రహము.	భూమి ఒక గ్రహము.										
గాజ్లీ	/gājlī/	n	గాజు	bangle	चूड़ी												
గాజ్లింగ్	/gājliṅg/	n	గాజులు	bangles	चूडियाँ; कँगन	ఇద్ గాజ్లింగ్ యేచ్చెర్ మంత.	ఈమే గాజులు కొనుచున్నది.	She is buying bangles.									
గాటి కీత	/gāṭi kīta/		అందుకుంది	it became a barricade		నన్న కుడెర్త్ రొప్పొడల్ తాక్సెర్ సొన్నెకె యేర్ నాకున్ గాటి కీత.	నేను నది లోపలి నుండి వెళుతున్నప్పుడు నీరు నాకు అందుకుంది.										
గాటి పెట్టి	/gāṭi peṭṭi/		కడుపు గట్టి పడటం	stomach is becoming hard		గాటి పెట్టి ఆతెకె వంజి రోకడె గాటి రెహంతెర్.	కడుపు గట్టి పడటం వలన రోకలితో రోగం దించుతారు.										
గాటొ	/gāṭo/	n	అన్నము	generic word for food, cooked rice	आहार												
గాడ్వ	/gāḍva/	v	తిట్టు	an abusive word for a bad person		బాబల్ వరొర్ కాండిన్ గాడ్వల్ ఇంజెర్ రంగ్‌సీంతొర్.	నాన ఒక పిల్ల వాన్ని గాడ్వా అని తిడుతున్నాడు.										
గాడి	/gāḍi/	n	వాసన	smell	गंध	సవ్వి కుస్సిడ గాడి వాసెర్ మంత.	మాంసపు కూర వాసన వస్తుంది.			మల్లె పుగ్ఙక్ న గాడిసూడ.	మల్లె పువ్వుల వాసన చూడు.			ముగ్రి పుగ్ఙడ గాడి సూడ.	బంతి పువ్వుల వాసన చూడు.		
గాడి కీమ్	/gāḍi kīm/	v	గుచ్చు	stick	चुभ; गाड	నూల్ గోండతగ సుయ్ గాడి కీమ్.	దారం ఉండలో సూది గుచ్చు.										
గాడి కోర్సె	/gāḍi kōrse/	n	బొగ్గు	jet	कोयला												
గాడె మాత	/gāḍe māta/		దిగి పోవుట	step down		మావ కాసుర్ చిక్లతగ గాడె మాత.	మా ఎడ్ల బండి బురదలో దిగిపోయింది.										
గాది	/gādi/	n	గాడిద	donkey		గాది బండంగ్ వొహ్లెన్ కామ్ సీంత.	గాడిద రాళ్లను మోయడానికి పనికి వస్తుంది.										
గాదుర్ వాత	/gādur vāta/	n	దొరగ														
గాదుల్ వాత	/gādul vāta/	adj	పరిపక్వమైన														
గాదె (గర్సె)	/gāde (garse)/	n	గరిసె														
గాబ	/gāba/	n	చెట్టు మొద్దు మధ్యభాగము	the hard interior of a stick or tree trunk		సీంది మర్రత గాబ బయ్ గోడ్ మందంత.	ఈతచెట్టు మధ్యబాగము తియ్యగా ఉంటుంది.										
గాబ్డి	/gābḍi/		కడుపుతో			మావ మూర గబ్డి మంత.	మా ఆవు కడుపుతో ఉన్నది.										
గాబ్డి ఆత	/gābḍi āta/		గర్భం వచ్చింది	got pregnant													
గాబ్రియల్	/gābriyal/	n	తొందర పడే వ్యక్తి	hurry	जल्दबाजी	మా తమ్ముర్ బయ్ గాబ్రియల్.	మా తమ్ముడు చాలా తొందర పడే వ్యక్తి.										
గాబ్రె మాసి	/gābre māsi/	adj	తబ్బిబ్బైన	confused		మొల్లొల్ విచ్చి విచ్చి గాబ్రెమాత.	కుందేలు ఉరికి ఉరికి తబ్బిబ్బైంది.										
గాయ్కి	/gāyki/	n	పశువుల కాపరి	cowherd		గాయ్కి మూరంగ్ మెహ్లన్ వోతొర్.	కాపరి పశువులను మేపడానికి తీసుకు వెళ్ళాడు.										
గాయి	/gāyi/		కర్రతో కొట్టే భాగం			డోల్‌తున్ కట్టెతె పాయ్వడున్ గాయి ఇంతెర్.	డోలుని కర్రతో కొట్టే భాగాన్ని గాయి అంటారు.										
గాయింజ	/gāyin̄ja/	n	గంజాయి	a drug		గాయింజ మర్ర మావ రోన్ మంత.	గంజాయి చెట్టు మా ఇంట్లో ఉంది.										
గార	/gāra/	n	ఇప్ప పరక	mahua fruit		గార కాయనె నియ్ తెండంతెర్.	ఇప్ప కాయల నుంచి నూనె తీస్తారు.										
గార్	/gār/			hail	ओला												
గార్క (జాడి)	/gārka (jāḍi)/			a kind of grass													
గార్ని	/gārni/	n	జల్లెడ	strainer, sieve		బయ్యె గొహ్క్‌న పిండి గార్ని కీసెర్ మంత.	అమ్మ గోదుమ పిండిని జల్లెడ పడుతుంది.										
గారి కీ-	/gāri kī-/	n	జల్లెడ	to strain, sieve, filter	छलनी	టొస్సుర్ ఉస్కెతున్ జల్లెడతె గరి కీంతెర్.	మందం ఇసుకను జల్లెడతో జల్లెడ పట్టుకుంటారు.										
గారె తల్ల	/gāre talla/	n	బండి చక్రం తల	hub of a wheel		గారెత తలదగ నియ్ దొసంతెర్.	బండి చక్రం తల్లలో నూనె వేస్తారు.	They put oil on the hub of the wheel.									
గాలియ్	/gāliy/	adj	అక్కరలేదు		नहीं चाहिये; जरूरत नहीं; गरज नहीं	నీవంగ్ కొత్తంగ్ నాకున్ గాలియ్.	నీ డబ్బులు నాకు అక్కర లేదు.										
గాలుమ్	/gālum/		కాలము	season	ऋतु												
గావ్	/gāv/	n	గాయం	scar	क्षतचिह्न	నహ్గ పుంద గావ్ మంత.	నా దగ్గర పుండు గాయం ఉంది.										
గిట్కెమాతొర్	/giṭkemātor/		బాగా దాహం వేసిన			మొల్లొకున్ సొంజికున్ గిట్కె మాతొర్.	కుందేళ్ళ షికారుకు వెళ్ళి బాగా దాహం వేసింది.										
గింద	/ginda/	n	పేలిక														
గింతి	/ginti/	n	గణితం	mathematics	गणित	నాగు ఉంది రండు గింతి కీసెర్ మంతొర్.	నాగు ఒకటి, రెండు అని లెక్కిస్తున్నాడు.										
గియన్	/giyan/		విఙ్ఞానం			వెల్లె సాడ కరితెకె గియాన్ వాంత.	ఎక్కువ చదివితే విజ్ఞానము వస్తుంది.										
గిరన్/గాడం	/giran/gāḍaṁ/	n	గ్రహము														
గిర్	/gir/	adv	కూడ	even		నిమ్మె అద్ సంక్యతున్ గిర్ మిసిడి కీమ్.	నీవు ఆ సంఖ్యను కూడ కలుపు.										
గిర్క	/girka/	n	గిలక	winding mechanism on well	रहट; अरहट; घिरनी	కుహితగ గిర్క దొస్సి యేర్ తెండంతెర్.	బావిలో గిలక పెట్టి నీరు తోడుతారు.										
గిర్దవర్	/girdavar/	n	గిర్దవర్														
గిర్ని	/girni/		పిండి మరలో	at the flour mill		జొన్నంగ్ గిర్ని పియంతొర్.	జొన్నలు పిండిమరలో పడుతున్నాడు.										
గిర్ర	/girra/			framework of branches used for dragging loads along the ground and for breaking in (training) young bullocks to pull a plough		కుర్రంగ్ కరుసన్ సాటి గిర్ర కీంతెర్.	కోడెలచేత మోయించడానికి గిర్ర అనే దానిని తయారు చేస్తారు.	For young bullocks to learn, a * is made.									
గిలస్ (చంబు)	/gilas (cambu)/	n	గ్లాసు	glass	गिलास												
గీడి పా-	/gīḍi pā-/	v	చుట్టుముట్టింది	to lie in coils (snake, rope)		తరస్ మూరతంగ్ కాల్క్‌నగ గీడిపాత.	పాము ఆవు కాళకు చుట్టుకుంది.										
గీతొ	/gīto/	n	గీత	line	लीक	మస్తరల్ గీతొ వాట్వల్ కరుసీతొర్.	గురువు గీత గియ్యడం నేర్పించాడు.										
గీర తెండ్వల్	/gīra teṇḍval/		ప్రమాణము కప్పుట														
గుగ్రింగ్	/gugriṅg/	n	గుడాలు	cooked (boiled) seeds or grain	बीज	తూరినంగ్, జాటనంగ్, జొన్ననంగ్ గొహ్క్‌నంగ్ గుగ్రింగ్ కీంతెర్.	కంది, అనుములు,జొన్న, గోదుమలతో గుడాలు చేస్తారు.										
గుజ్జి	/gujji/	n	గెల	cluster	गुच्छा	అంగుర్క్ గుజ్జింగ్ గుజ్జింగ్ సాదంతంగ్.	ద్రాక్ష పండ్లు గుత్తులుగా కాస్తుంటాయి.										
గుడ్ఙ	/guḍṅa/	n	గొంతు														
గుడ్డి	/guḍḍi/	adj	గుడ్డి	blind	अंधा	కడ్కున్ దిస్సొ వోన్ గుడ్డి ఇంతెర్.	కండ్లు కనిపించని వాన్ని గుడ్డి వాడు అంటారు.										
గుడ్రల్ (తరస్)	/guḍral (taras)/		గుడ్డి పాము	blind snake		గుగూ గు ఇంజెర్ ఆడ్వల్ తరసున్ గుడ్రల్ ఇంతెర్.	గుగూగ్ అని అరిచే పాముని గుడ్డి పాము అంటారు.										
గుడ్సె	/guḍse/	n	గుడిసె														
గుడి	/guḍi/	n	దేవాలయం	temple	मंदिर	నారెల్ వొహ్లెన్ పేన్ద గుడితె సొత్తెర్.	కొబ్బరికాయ కొట్టడానికి దేవాలయానికి వెళ్ల్లారు.										
గుత్త	/gutta/		గుత్తకు యివ్వు			మావ కాపుస్ యెహ్లెన్ గుత్త సీతొన్.	మా పత్తి గడ్డి తీయడానికి గుత్తకు ఇచ్చాను.										
గుత్తి	/gutti/	n	గుత్తి	bunch													
గుద్-	/gud-/	n	గుద్దడం	to fight	झगड़ना	రమేసున్ సుంగు కయ్దె గుద్‌సెర్ మంతొర్.	రమేష్ ని సుంగు చేతితో గుద్దుతున్నాడు.										
గుంగ్	/guṅg/	n	మూర్ఛ	unconscious		కెవ్క్ నగ యేర్ నింతెకె తల్ల గుంగ్ మందంత.	చెవులలో నీరు నిండితే తల మూర్ఛలోఉంటుంది.										
గుంగ్నె	/guṅgne/		చప్పుడు వినకుండ														
గుంతి కోల	/gunti kōla/	n	బాణము	arrow													
గుంతి వియ్ద	/gunti viyda/	n	విలువిద్య	archery		వెద్దుర్ పక్కితె గుంతి తయర్ కీసి కరియంతెర్.	వెదురుతో విలు తయారు చేసి ఆడుకుంటారు.										
గుంజె వేలి	/gun̄je vēli/	n	తీగ	kind of a creeper													
గునల్క్	/gunalk/	n	గుణాలు	characters													
గుప్డి (మర్ర)	/gupḍi (marra)/	n	కుతికెలు వస్తే ఈ చెట్టు చెక్కను దంచి తింటారు	tree	पेड; वृक्ष												
గుప్పుడ్	/guppuḍ/	n	పిట్టెలు కొట్టడానికి	slingshot	गुलेल	వాట్టె జొన్నతగ పిట్టెంగ్ ఆతెకె గుపుడె పిట్టెంగ్ పాంతెర్.	చేనులో పిట్టలు వాలితే ఒడిసెలతో పిట్టలను కోడతారు.										
గుబ్డ	/gubḍa/	n	సమూహం	group		సాడతుర్ కాండిర్కున్ మస్తరల్ గుబ్డ ఆమ్ట్ ఇంజెర్ వెహ్తొర్.	బడి పిల్లలతో గురువు సమూహం కమ్మని చెప్పాడు.										
గుండం	/guṇḍaṁ/		గుండం			పేన్దున్ మున్నె గుండం నిరుసంతెర్.	దేవుని ముందర గుండం తయార్ చేస్తారు.										
గుండ్రల్	/guṇḍral/	adv	గుండ్రంగా	round	पराँठा	మావ కుహి గుండ్రల్ మంత.	మా బావి గుండ్రముగా ఉంది.										
గుండుర్ కాయంగ్	/guṇḍur kāya/	n	వృషణాలు	internal organ		అండగోలినగా రండ్ గుండుర్ కాయంగ్ మందంతంగ్.	వృషణాలు రెండు గుండ్రంగా ఉంటాయి.										
గుమ్మి కీ-	/gummi kī-/		మొసం చేసాడు	deceive													
గుమ్మెల	/gummela/		వాయిద్య పరికరం	musical instrument													
గుమ్మెల యెంద్వల్	/gummela yendval/		దీపావళికి నృత్యం చెయ్యడం			దివడితున్ డండరితగ గుమ్మెల యేందంతెర్.	గుసాడిలు దండారిలో నృత్యం చేస్తారు.										
గుమ్సల్ టొడ్డి	/gumsal ṭoḍḍi/		గుండ్రని నోరు														
గుమి కీ-	/gumi kī-/	vi		to cheat													
గుముల్ (మర్ర)	/gumul (marra)/	n	బూరుగు (చెట్టు)	kind of a tree	पेड़												
గురగుర	/guragura/		గులగుల		खुजलाहट												
గుర్గుల	/gurgula/	n	చిన్న గంప	small basket		బుజ్జి హిరుక్ పెర్లె గుర్గుల వోత.	పాప ఇప్ప పువ్వు ఏరడానికి చిన్న గురిగె తీసుకు వెళ్లింది.										
గుర్ల కియ్వల్	/gurla kiyval/		పుక్కిలించుట	gargling													
గురుజి	/guruji/	n	గురువు	teacher		సాడ కరుసియ్వల్ వోర్- గురుజి.	చదువు చెప్పేవాడు గురువు.										
గురే మా-	/gurē mā-/	vi		to growl	गुर्राना												
గులబి పుఙర్	/gulabi puṅar/	n	గులాబీ పువ్వు	rose flower		గులాబి పుఙర్ గుల్వల్ రంగ్నె పోయంత.	గులాబీ పువ్వు గులాబీ రంగులో పూస్తుంది.										
గుల్లెర్	/guller/	n	గుల్లెరు	catapult	गुलेल	గుల్లెర్ తె పిట్టెనున్ పాంతెర్.	గుల్లేరుతో పిట్టలను చంపుతారు.										
గుల్వల్	/gulval/	n	గులాల్	pink powder used for worship		పేన్క్‌నగ కుక్కు గుల్వల్ వాటంతెర్.	దేవుని దగ్గర కుంకుమ గులాల్ వేసుకుంటారు.										
గుల్‌గుల్	/gulgul/	n	గిలగింతపెట్టు	tickle	गुदगुदाना	నాకున్ గిరిజల్ బాయి గుల్ గుల్ కిమత.	నాకు గిరిజ బాగా గిలిగింత పెట్టుతుంది.										
గుల్‌గుల్-కీ-	/gulgul-kī-/			to tickle	गुदगुदाना												
గుహ్	/guh/	n	పుట్ట గొడుగు	mushroom													
గుహ్క్	/guhk/		పుట్టగొడుగులు	mushrooms (plural)													
