Gondi Word	Telugu Meaning
కిరక్	కోపిష్టి తనం
కిరకిర	చికాకు
కిర్కెటల్	అతి కోపస్తుడు
కిర్వి తల	సగం గుండు తల
కిర్వి మొసొర్	సగం ముక్కు
కిర్స్ నె కెల్క్	చిందరవందర జుట్టు
కిరుటి	కొయ్యచీల
కిరెయ్	అద్దె కు
కిలండి	గట్టి పిలుపు
కిలస్	తరగతి
కిల్లల్ లెఙ్	సన్నని గొంతు
కిలి -	కేక
కిలియ	కేకపెట్టు
కిలిసి కిలిసి	అరిచి అరిచి
కిస్	అగ్గి పుల్ల
కిస్ డబ్బి	అగ్గి పెట్టె
కిస్క్-	గిచ్చుట
కిస్మత్	అదృష్టం
కీక్ర	ఉలి
కీడ	మొలలు
కీడింగ్ ‌గోడింగ్	వంకర టింకర
కీర్తి	గుర్తింపు
కీర్తివాలె	కీర్తి గల వాడు
కీరెనస్టల్	చెడ్డవాడు
కీల్చ	కీలు
కీవుల్	దయ
కీస	జేబు
కీ-	చేసుకో
కుక్కు	కుంకుమ
కుక్కు గుల్వల్	కుంకుమ గులాల్
కుకుర్ కుమ్డి (పిట్టె)	చెమ్డ కాకి
కుచ్చల్ మల్	మగ నెమలి
కుటుంబ	కుటుంబం
కుడ్డుక్	కుడుములు
కుడ్ది దొస్వల్	కుడితి పెట్టుట
కుడుస్-	మార్చుకోవడం
కుడెకె బసల్	బట్టలు లేకుండా ఉన్నవాడు
కుడెడ్ వొడ్డు	నది ఒడ్డు
కుతుల్	కూర్చొనే పలక
