Gondi Word	Telugu Meaning
एबै-एडूं	ఎబై ఎడు
एबै हेय्युं	ఎబై ఐదు
एबै उंदि	ఎబై ఒకటి
एबै तोम्मिदि	ఎబై తొమ్మిది
एबै नालूं	ఎబై నాలుగు
एबै मूडु	ఎబై మూడు
एबै रोंडु	ఎబై రెండు
पेरमड़	ఎరడము
एर्किच्मड़	ఎర్కియడము
एर्रा गोर्रे	ఎర్పు గొర్రె
एर्रा पूसा	ఎర్పు పూసా
एर्रा मन्नु	ఎర్పు మట్టి
एर्राटा मिच्‍चो	ఎర్రటి తేలు
पॆंडा पोदूर	ఎర్రటి పేగు
एर्रापुडी	ఎర్రా పుర్గు
एर्रगा	ఎరుపు
एरवु	ఎరువు
इरवै एनमिदि	ఎరువై ఎనిమిది
एल्‍का मरा	ఎల్కా చెట్టు
पेय्‍समड़	ఎల్లడం
एल्‍पाया	ఎల్లపాయ
बहन	ఎలా?
एल्‍ली	ఎలుక
एड्‍जू	ఎలుగుబంటి
नालूं रोजकुंक	ఎలుండి
बोनद	ఎవరిది
बोरद-ओरे	ఎవరిది వారె
बोर	ఎవరు
बद्दना	ఎవరో ఒకరు
बव	ఎవీ?
एद्दी	ఎండ
एद्दी कालम	ఎండకాలం
एदिते तासमड़	ఎండలొ పెట్టడము
एटो	ఎండ్రికాయ
एमडाल्‍क	ఎండాలు
वत्तिस होनमड़	ఎండిపోవడము
गोडचो	ఎంతొ
बचटूर	ఎందరు
बारी	ఎందుకు
अडुड़	ఏడ్చుట
एडूं	ఏడు
सुय् पद्दि	ఏదుపంది
बतलो	ఏదో ఒకటి
एनी	ఏనుగు
बातल हेल्‍ले	ఏమి లేదు
बातल	ఏమిటి
बतले तिनाकोंटा मनमड़	ఏమె తినకుంట ఉండటము
हेय्यूं	ఐదు
हेय्यूर	ఐదుగురు
कोनम बाम	ఒ చేప పేరు
गुड्डी वीसी	ఒ దోమ పేరు
उम्मादामा	ఒ పక్షి పేరు
डाल्‍पीन	ఒ పక్షీ పేరు
गोदमा नागुम	ఒ పాము పేరు
गुर्ती पिट्टे	ఒ పిట్టె పేరు
नारेंगा	ఒ రకము చేప
डिस्‍को पूसा	ఒ రఖమైన పూస
कींकिर	ఒ రఖమైన వాద్యము
डोल	ఒ వాద్యము
डांग	ఒ వాద్యము సప్పుడు
उंदि कळु	ఒక కన్ను
कोडपा जिम्मा	ఒక చేప పేరు
कोलाटम	ఒక పల్లె ఆట
जेरगोड्डु	ఒక పాము పేరు
उंदि पाव हिस्‍सा	ఒక పావు భాగము
जिर्रे पुडी	ఒక పుర్గు
उंदि	ఒకటి
उंदान पोरो उंदि	ఒక్క దాని మీద ఒకటి
उंदि मल्‍का	ఒక్క సారి
जूंजरि	ఒక్కటి అంటె ఇక్కటి చేస్తాడు
उंदे(मु.)	ఒక్కతను
वरोर(म.)	ఒక్కతనే
जमाना	ఒక్కపుడు,కాలం
उंदे जॆगाते आयमड़	ఒకె చోట ఉండటము
ओजोन	ఒజొన్
ओट्टु	ఒట్టు
ओड्डू	ఒడ్డు
ओड़सेला	ఒడిసెల
ओत्तू	ఒత్తు
ओप्‍पुकुन्‍मड़	ఒప్పుకోవడం
आशे पडमड़	ఒపిక్య
ओर्रे	ఒర్రె
उंदी-उंदी मन्‍मड़	ఒంటరిగా ఉండటము
लोटापेटा	ఒంటె
कक्‍कुडु	ఒంతులు చెయటము
ओकरेंता	ఓకారము
पटाकी	ఔటు
लोद्दी	కచలము నడసి తయరైన లొద్దీ
कट्टा	కట్టా
दोहमड़	కట్టు
पॊंडमड़	కట్టుకోవడము
मॊता	కట్టెలమోపు
कट्टें,मोट्टुक	కట్టెలు, మొట్టులు
कट्टे	కట్టే
अहेर	కట్నము
कट्‍ला तरास	కట్లా పాము
पीर लोपुड	కడపు లొపడము
