Gondi Word	Hindi Meaning	Telugu Meaning
ऊंगुडु	डोलना	ఊగాడము
ऊच डेंडे	ईक	
ऊडुड़ु	जोतना	
ऊत पिट्टे	बटेर	పూరేడుపిట్ట
ऊतुडु	चूसना	
ऊपमड़	झटकाना	ఊపడము
मेल्‍हुमड़	झिंझोड़ना	
ऊर बिस्‍के	गौरैया	ఊరు బిస్కె
ऊसीर वाटमड़	सीटी बजाना	
ऊसुडु	उबल कर बाहर गिरना	
ऊसुडु	कंघी करना	
एकिच्मड	चढ़ाना	
एक्‍किस होनमड़	चढ़कर जाना	ఎక్కి పొవడము
एक्‍कुड	चढ़ना	ఎక్కడము
एक्‍कुडु	चढ़ाव	
एक्‍कुल्‍क तेदमड़	हिच्‍की लगना	ఎక్కిలు రావ్డము
एक्‍कुल्‍कु	हिचकी	ఎక్కిళ్ళు
एक्‍को	बहुत	చాల/బాగా
एक्को आयमड़	बढ़ना	
एक्को कियमड़	बढ़ाना	
एक्को आयमड़	बढ़ना	
एगनेंके	बजते समय	
एगरानोर	नृत्यक	నర్తకుడు
एगुरुडु	नाचना	నృత్యం
एटी	बकरी	మేకా
एटी पाल निय्यु	बकरी का घी	వెన్న
एटी पॊतु पोरी	बकरे का पिल्‍ला	మేకపోతు (పిల్ల)
एटी पॊतू	बकरा	మేకపోతు
एटीना मंदा	बकरीओं का झुंड	మేకల మంధ
एटो	केकड़ा	ఎండ్రికాయ
एडकी	बुखार	జ్వరము
एड़ादिक उंदिमल्‍का	साल में एक बार	ప్రతి సంవత్సరము
एंडि कोत्ता	चांदी का सिक्‍का	వెండి రుపాయ్
एंडी	चाँदी	వెండి
एडूं	सात	ఏడు
येड्वीर	सात जण	
एड्‍जू	भालू	భల్లూకము; ఎలుగుబంటి
एड्‍जू पड़ा	भालू का गुफा	
एतमड़	लेना	తీసుకొవడము
एतारेव	कपडे धोने का जगह	నీళ్ళరేవు
एते मन्‍मड	पानी में रहना	నీలలొ ఉండడము
एते मुडाह्मड़	पानी मे डुबाना	నీలలొ ముంచడము
एते मुडुंगमड़	पानी में डुबना	
एते मुडुंगमड़	पानी में डुबना	
एत्तु गुट्टा	उंचा पहाड	ఎత్తు కొండ
एत्तुंक एत्तु	ऊंचा ही ऊंचा	ఎత్తుకు ఎత్తు
एत्तुडु	गोद में लेना	
एत्तू	ऊंचाई	ఎత్తు
एत्तू	लंबा	ఎత్తు
कोंगा	बगला	
एदिते तासमड़	धूप में रखना	ఎండలొ పెట్టడము
एदुर हूडमड़	प्रतिक्षा करना	ఆగు
एद्दी	धूप	ఎండ
एद्दी कालम	धूपकाल	ఎండకాలం
एद्दी कालम	धूपकाल	ఎండకాలం
एद्दी कालम	गर्रमी का मौसम	ఎండకాలం
एनबै	अस्‍सी	ఎనబై
एनबै उंदि	इक्‍यासी	ఎనబై ఒకటి
एनबै एनमिदि	अट्‌ठासी	ఎనబై ఎనిమిది
एनबै तोम्मिदि	नवासी	ఎనబై తొమ్మిది
एनबै नालूं	चौरासी	ఎనబై నాలుగు
एनबै मूडु	तिरासी	ఎనబై మూడు
एनबै रोंडु	ब्यासी	ఎనబై రెండు
एनबै हेय्युं	पचासी	ఎనబై ఐదు
एनबै-एडूं	सतासी	ఎనబై ఎడు
एनमिदि	आठ	ఎనిమిది
एनी	हाथी	ఏనుగు
एन्‍कटा जमाना	पुराना जमाना	
एन्‍बै हारूं	छियासी	ఎనబై ఆరు
एबै	पचास	యాభై
एबै उंदि	इक्‍यावन	ఎబై ఒకటి
एबै एनमिदि	अट्‌ठावन	యాభై ఎనిమిది
एबै तोम्मिदि	उनसठ	ఎబై తొమ్మిది
एबै नालूं	चौवन	ఎబై నాలుగు
एबै मूडु	तिरपन	ఎబై మూడు
एबै रोंडु	बावन	ఎబై రెండు
एबै हारूं	छप्‍पन	ఎబై ఆరు
एबै हेय्युं	पचपन	ఎబై ఐదు
एबै-एडूं	सत्तावन	ఎబై ఎడు
एमडाल्‍क	जुड़वा	ఎండాలు
एमडाल्‍क	जुड़वा	
एमडाल्‍क	जुड़वा	
एर	पानी	నీరు
मंचि एर	अच्‍छा पानी	శుభ్రమైన నీరు
एर उनाकोंटा मनमड़	पानी पीये बिना रहना	నిల్లు త్రాగకొంట ఉండడము
एर उन्‍मड़	पानी पीना	నీరు త్రాగడము
एर काच्‍हना अळ्‍का	पानी गरम करने का मटका	నీళ్ళు కాగించేకుండ
एर कोय्‍सी अरगुमड़	क्षरण	
एर तुंगागोटुडु	नहलाना	స్నానము చెయించడము
एर तुंगुंड	स्‍नान करना	స్నానము చేయిండము
एर-एर	पतला करना	
एरतुंगंना कॊली	स्‍नानगृह	స్నానము గది
एरपाट	मालुम होना	తెలుసు
एरपाट इर्मड़	याद रखना	జ్ఞపకము ఉంచడము
एरपाट कियमड़	पहचानना	గుర్తు పెటడము
एरपाट कीकुनमड़	समझ लेना	అర్థము చెసుకొవడము
एरपाट मन्‍मड	जानना	గుర్తు ఉండడము
एरवु	गोबर	
एरवु वाटमड़	गोबर डालना	
एरवु	गोबर	ఎరువు
एरवु वाटमड़	गोबर डालना	
एर्का	मालूम	గుర్తు/జ్ఞపకము
एर्का आयमड़	मालूम होना	తెలియడం
एर्किच्मड़	हवा मारना	ఎర్కియడము
एर्रगा	लाल	ఎరుపు
एर्रा गोर्रे	लाल मेंढी	ఎర్పు గొర్రె
एर्रा पूसा	लाल मनी	ఎర్పు పూసా
एर्रा पोर्सु पर्का	लाल चिल्टे का मच्‍छली	
एर्रा मन्नु	लाल मिट्टी	ఎర్పు మట్టి
एर्रागोल्‍ला जाडी	घास	
एर्राटा मिच्‍चो	लाल बिच्‍छू	ఎర్రటి తేలు
एर्रापुडी	केंचुआ	ఎర్రా పుర్గు
एल्‍का मरा	एक पेड़	ఎల్కా చెట్టు
एल्‍पाया	लसन	ఎల్లపాయ
एल्‍ली	चूहा	ఎలుక
एवसायम	खेती	వ్యవసాయం
नॆली कियनोर	किसान	
एव्‍वुडु	पहुंचना	చేరడము
एसमडु	गोली मारना	
एसर वायागोटमड़	उबलाना	
ऐरेन अड़का		కుండలు
ऑक्‍सीजन	ऑक्‍सीजन	ఆక్సిజన్
ओकरेंता	उल्टी का एहसास	ఓకారము
ओक्‍कला	अगर	
ओगोर	कड़वापन	చేదూ
ओजोन	ओझोन	ఒజొన్
ओट्टु	कसम	ఒట్టు
ओट्टु पियमड़	कसम खाना	
ओट्टु पियमड़	कसम खाना	
ओड़सेला	गोफन	ఒడిసెల
ओड‍हुतव	चिला हुआ	
ओडा	नाव	నౌక
ओडाल	मछुआ	చేపలు పట్టేవాళ్ళు
ओड्डू	किनारा	ఒడ్డు
ओड्वंप	ऊबड खाबड ज़मीन	లోతు
ओड्‍हुड़	छीलना	
ओत्तू	जाड़ा	ఒత్తు
ओदोल आयमड़	ढीला होना	
ओदोल कियमड़	ढिला करना	
ओनद	उसका	అయ్నది
ओनद-ओरे	स्वंय	
ओनद-ओरे	स्वंय	
ओना वरोनदे	उसका खुद का	
ओप्‍पुकुन्‍मड़	कबूलना	ఒప్పుకోవడం
ओर	वो	వారు
ओरद	उनके	వారిది
ओरद	उनके	వారిది
ओर्रे	छोटासा नाला	ఒర్రె
ओर्रेन पीसि	किनारे से	
ओल्‍ला	जाल	
कंका	बांस	వెదురుకంక
कक्‍कुडु	उल्टी करना	ఒంతులు చెయటము
कंगारु	कंगारु	కాంగారు
कंचु	कास्य	కాస్యా
कंचुड	कढ़ई	పెనము
कचुहमड़	शेंकना	కాగపెట్టడము
कच्‍चि	लोह	ఇనుము
कच्चि-वीसि	एक मक्‍खी का नाम	
कच्चि-टुक्डे	लोह के टुकडे	
कच्‍चि बंडा	लोहयुक्‍त पत्‍थर	ఇనుము బండ
कच्चि-टुक्डे	लोह के टुकडे	
कच्चिता पेनेम	लोहे का तावा	ఇనుప పెనం
कच्चि-वीसि	एक मक्‍खी का नाम	
कजुर मरा	खजूर का पेड़	
कटूल	खटिया	మంచము
कंटे	मोटी हार	కంటె
कटोरी	कटोरा	గిన్నె
कट्टा	बांध	కట్టా
कट्टुमड़	गर्भधारण	
कट्टे	लकड़ी	కట్టే
कट्टें,मोट्टुक	लकडीयाँ	కట్టెలు, మొట్టులు
कट्टे(वतुतद)	सूखा लकडी	
कट्टेनूसि	लकड़ी का कीडा	
कट्‍ला तरास		కట్లా పాము
कड़	आँख	కన్ను
कड़-पापा		కన్ను బొమ్మ
कड़कुंक एह्‍क वायमड़	आखों में आंसू आना	కన్నిర్ రావటం
कडगोट्टोड	सबसे छोटा	అందరి కంటే చిన్నవాడు
कंडतेम	तकलिफ होना	కష్టము
कंडतेम आयमड़	थक जाना	కష్టమ్ అవటము
कड़-पापा		కన్ను బొమ్మ
कडसि होन्‍मड़		ఈగీ పొవడము
कडा	कलिहान	కల్లము
कंडा	मास का टुकडा	మాంసపు ముక్క
कंडा बलम	मांस पेशी	కండరము
कडियाल्‍क	कडा	కడియం
कड़ी	कड़ी	తాల్పూ ఎసిన పెరుగు
कड़ु गुड्डु	नेत्रगोलक	కన్ను గూబ
कडु रेप्‍पा	पलख	కను రెప్ప
कडेम	मूठ	
कडेर	आँसू	కన్నిళు
कतपुने मन्‍मड	इकट्टा रहना	
कत्तेरा	कैंची	కత్తెర
कत्तेरा बंडा	काटनेयोग्य पत्‍थर	కత్తెరా రాయ
कत्‍पु	पक्षीयों का झुंड	పిట్టల గుంపు
कत्रिच्मड	काटना	కతిరించుట
कंदीं	तुवर	కందులు
कंदेन तासमड़	ग्रीज लगाना	కందెన పెట్టడము
कंदेना	वंगन	కందెన
कनूग् मरा		కానుగ చెట్టు
कन्‍ड्ररां		కంనడ్రాలు
कपडगाल		కపడ్ గాల్
कपडीं तासमड़	कपडों का भेंट देना	బట్టల్ పెట్టడము
कपडीं हुकमड़	कपडे धोना	బట్టల్ ఉత్కడము
कपडीं हुक्‍कना बंडा	कपडे धोने का पत्‍थर	బట్టల్ ఉత్కె బండ
कपर	माथा	నుదురు
कप्‍पिड	कपड़ा	బట్ట; చీర
कप्‍पिड़ पॆगू	कपडे का टुकडा	పేలుక
कबड	काम	పని
कबड्‍क अरमड़	उपयोग में आना	
कबडतद	महत्‍त्‍वपूर्ण	
कबड-दंदा	कामधंदा	
कबड़ कियमड़	काम करना	పని చెయటము
कबडक ओज्‍वा बूमी	उजाड भूमी	పనికి రానీ భూమీ
कबडतद	महत्‍त्‍वपूर्ण	
कबड-दंदा	कामधंदा	
कबड्‍क अरमड़	उपयोग में आना	
कबड्‍क होन्नुडु	काम पर जाना	పనికి పొవటము
कबुर कियमड़	ख़बर सुनाना	వార్త చెప్పుట
कबूर	खबर	
कमजू	तित्तर	
कमय कियमड़	कमाना	సంపాదించడము
कमय कियमड़	पाना	సంపాదించుట, ఆర్జించుట
कम्का	हल्‍दी	పసుపు కొమ్ము
पसपु पच्‍चगा	पीला	
कम्मरि	लोहार	కమ్మరి
कम्मी	खूंटी	
कय	हाथ	ఖరము; చేతు
कयदा गोल्‍स	कंगन	
कय्मूल	कटु; कठ्ठा; कड़वाहट	చేదు
करगना बंडा	ओला	కర్గె బండా
करगुडु	पिघलना	కరగడము
करंट	बिजली	విద్యుత్తు
करवुडु	जलना	మాడిపోవడము
करवेसमड़	भूख लगना	ఆకలి అవడము
करवेस्मड़	भूक लग़ना	
करसुड़ु	खेलना	ఆడుట
करहमड़	पढ़ाना/सिखाना	
कराब	बुरा	చెడు
कराब आयमड़	बिघड जाना	
कराब कियमड़	बिगाड़ना	
